range,id,name,country,status,tech,maintainer,admin,source,whois_domain,updated,org,rdns_domain,domain,geoloc,org_address,asn,as_name,as_domain,as_type
194.106.128.184/30,SIERRACOMMUNICATIONSLTD,Eircom Customer Assignment,IE,ASSIGNED PA,DM9480-RIPE,RIPE-NCC-HM-MNT\NTE-MNT,DM9480-RIPE,ripe,eir.ie,2011-07-13,ORG-EA29-RIPE,,sierra.ie,,"2 Heuston South Quarter, St Johns Road West\nD08 Y42N\nDublin 8\nIRELAND",AS5466,Eircom Limited,eir.ie,isp
64.149.74.0/29,SBC-64-149-74-0-29-1710192333,UN TAE CHUNG-171019152257,US,REASSIGNMENT,,,,arin,,2017-10-19,C06767424,,,,"Private Address, Plano, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
65.140.95.224/29,Q0311-65-140-95-224,"EXCHANGE STREET PARTNERS, LLC",US,REASSIGNMENT,KLISA-ARIN,,KLISA-ARIN,arin,,2020-03-11,ESPL-26,,terracegroupllc.com,,"30 10TH ST E\nBLDG UNKNOWN FLR UNKNOWN UNIT UNKNOWN, SAINT PAUL, MN, US",AS209,"CenturyLink Communications, LLC",lumen.com,isp
103.236.152.0/22,QCPL-IN,Quest Consultancy Pvt Ltd,IN,ALLOCATED PORTABLE,QCPL1-AP,MAINT-QCPL-IN,QCPL1-AP,apnic,qcpl.in,2021-10-28,,,qcpl.in,,,AS58659,Quest Consultancy Pvt Ltd,qcpl.in,isp
2a01:4f8:192:43d4::/64,HOS-1853256,HOS-1853256,DE,ASSIGNED,HOAC1-RIPE,RIPE-NCC-HM-MNT\NHOS-GUN,HOAC1-RIPE,ripe,hetzner.de,2024-07-04,ORG-HOA1-RIPE,,hetzner.de,,Industriestrasse 25\nD-91710\nGunzenhausen\nGERMANY,AS24940,Hetzner Online GmbH,hetzner.de,hosting
2605:a401:8548::/48,UNITED-HEALTH-GROUPREMOTE-SITES,UNITED HEALTH GROUPREMOTE SITES,US,REASSIGNMENT,,,,arin,,2022-07-08,C08734681,,,,"5214 W LINEBAUGH AVE, TAMPA, FL, US",AS33363,"Charter Communications, Inc",chartercom.com,isp
2a01:4f8:e0:1614::/64,HOS-328498,HOS-328498,DE,ASSIGNED,HOAC1-RIPE,RIPE-NCC-HM-MNT\NHOS-GUN,HOAC1-RIPE,ripe,hetzner.de,2023-11-04,ORG-HOA1-RIPE,,hetzner.de,,Industriestrasse 25\nD-91710\nGunzenhausen\nGERMANY,AS24940,Hetzner Online GmbH,hetzner.de,hosting
2001:67c:19f4::/48,UTAIR-NET,UTair Aviation JSC,RU,ASSIGNED PI,SKL4-RIPE,ROSTELECOM-MNT\NSKL4-MNT,SKL4-RIPE,ripe,utair.ru,2022-08-18,ORG-UA221-RIPE,,utair.ru,,"Tyumen city, Tyumen Region, 625000, Russian Federation",AS198877,UTair Aviation JSC,utair.ru,isp
12.4.127.64/29,HOOKED-O61-127-64,HOOKED ON SUSHI,US,REASSIGNMENT,,,,arin,,2023-09-06,C10109595,,,,"2508 EL CAMINO REAL, CSBD, CA, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
70.31.64.0/24,DSL-70-31-64-0-1707493606,Bell DSL Internet Ontario,CA,REASSIGNMENT,IPADM633-ARIN,,SYSAD-ARIN,arin,,2024-02-09,BDIO,bell.ca,bell.ca,,"31 Finch Ave E, Toronto, ON, CA",AS577,Bell Canada,bell.ca,isp
80.241.94.184/29,COORALTA-NET,Coor Service Management AS,NO,ASSIGNED PA,PH92-RIPE,RIPE-NCC-HM-MNT\NAS2116-MNT,TB6420-RIPE,ripe,coor.no,2012-09-21,ORG-BNA1-RIPE,coor.no,coor.no,,Snarøyveien 36\n1364\nFornebu\nNORWAY,AS2116,GLOBALCONNECT AS,globalconnect.no,isp
