network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,dma_code,geoname_id,radius,asn,as_name,as_domain,as_type,carrier_name,mcc,mnc,as_changed,geo_changed,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite,is_proxy,is_relay,is_tor,is_vpn,privacy_name
1.0.65.104/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-05-24,false,false,false,false,false,false,false,false,false,
1.0.65.108/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-07-09,false,false,false,false,false,false,false,false,false,
1.0.65.112/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-02,false,false,false,false,false,false,false,false,false,
1.0.65.114/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.116/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.118/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-14,false,false,false,false,false,false,false,false,false,
1.0.65.120/29,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-07,false,false,false,false,false,false,false,false,false,
1.0.65.128/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,200,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-19,false,false,false,false,false,false,false,false,false,
1.0.65.132/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,200,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.134/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,200,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-19,false,false,false,false,false,false,false,false,false,
