ip,bssid,ssid,category,name,brand,city,region,country_code,latitude,longitude
1.0.170.22,"88:dc:96:0d:fd:22,88:dc:96:73:28:07",Toyota Free Wifi,car_dealer,Toyota,Toyota,Ang Thong,Ang Thong,TH,14.5785,100.4872
1.0.170.132,c6:70:ab:8b:cb:b5,@TheScene FL2,hotel,The Scene สุพรรณบุรี,,Suphan Buri,Suphan Buri,TH,14.4748,100.1097
1.0.172.98,"54:ec:2f:08:b5:4c,dc:f8:b9:fe:25:d1",Free WiFi By Lomprayah,restaurant,Lomprayah,,Ko Samui,Surat Thani,TH,9.5838,99.9837
1.0.172.196,74:6f:88:b1:7b:78,Bestkhaolak_5G,hotel,Khaolak Mohin Tara,,Ban Khao Lak,Phang Nga,TH,8.6853,98.2525
1.0.172.239,"c8:3a:35:3b:e4:28,e4:ca:12:ea:84:a2",Toki Krabi_5G,laundromat,Toki Wash & Dry 24 hrs,,Krabi,Krabi,TH,8.0659,98.916
1.0.173.156,"14:4d:67:ae:f3:ec,14:4d:67:1a:35:fc",Playna Resort2,hotel,ปรายนา รีสอร์ท,,Khuan Don,Satun,TH,6.7529,100.0395
1.0.175.86,d8:0d:17:c1:60:ce,Number1Restaurant,restaurant,Aroy d seafood Restaurant,,Ban Ao Nang,Krabi,TH,8.0343,98.8292
1.0.175.91,"b0:4e:26:d8:84:f2,d4:b7:09:d9:d8:b2",Jinheng_Ranong1,car_dealer,นิสสัน ระนอง - Nissan Ranong,Nissan,Ranong,Ranong province,TH,9.9446,98.634
1.0.175.214,"50:d4:f7:69:4b:42,0c:80:63:3e:9b:19",Atom Hotel,hotel,Atom Phuket Hotel,,Ban Mai Khao,Phuket,TH,8.0952,98.307
1.0.202.7,08:3f:bc:d5:0a:02,CAT Pubpa hose,campground,พับผ้า วัลเล่ย์ pubpa valley,,Na Yong,Trang,TH,7.5755,99.7852
1.0.202.187,"88:dc:96:39:d6:32,54:b8:0a:11:b7:d0,88:dc:96:39:d6:30",TheRoom-WiFi5,hotel,The Room Hotel & Service Apartment,,Trang,Trang,TH,7.5448,99.6116
1.0.203.39,"72:85:c4:8e:4d:cf,72:85:c4:fe:35:73,72:85:c4:8e:54:8f,20:e8:82:c4:a1:5a,72:85:c4:86:58:aa",Tann staff,restaurant,Tannami by Tann Terrace,,Phuket,Phuket,TH,7.8298,98.2951
1.0.203.154,"7e:8a:20:8b:27:dc,88:d2:74:ca:a2:b0",Coral Outdoor Lounge,restaurant,The Coral Executive Lounge,,Ban Mai Khao,Phuket,TH,8.1083,98.306
1.0.203.204,,NEW ANONA BEACHFRONT,hotel,Mango Tree On The Beach,,Kathu,Phuket,TH,7.889,98.2926
1.0.203.221,"78:44:76:9e:e4:a0,74:83:c2:37:14:6a,74:83:c2:37:29:e7,0c:37:47:98:69:0c,f0:9f:c2:f7:ec:92",PEARL HOTEL,hotel,Roof Top Restaurant @ Pearl Hotel,,Phuket,Phuket,TH,7.8819,98.3926
1.0.212.84,"14:4d:67:20:cd:14,14:4d:67:20:cd:10,64:66:b3:b8:99:2a",River Bank #2,hotel,River Bank Guest House,,Ban Huai I Huak,Mae Hong Son,TH,18.1633,97.9311
1.0.213.223,68:72:51:2c:0f:65,Above The Sea Hotel,hotel,Above the Sea,,Ban Huai I Huak,Mae Hong Son,TH,18.1615,97.9295
1.0.216.14,74:4d:28:93:2c:de,Sino Maison,hotel,Sino Maison,,Kathu,Phuket,TH,7.8862,98.2982
1.0.216.199,"a8:6e:84:98:fc:7f,70:a7:41:81:d2:61,ff:ff:ff:ff:ff:ff,ba:ca:26:ff:30:cb,ba:cc:26:ff:30:cd,f6:0d:5c:f9:dd:0e,f6:ea:5c:f9:dc:eb,d6:56:f3:ff:51:57,d6:57:f3:ff:51:58,f6:8a:5c:fb:95:8b,f6:d8:5c:f9:dc:de,f6:e1:5c:f9:dc:e2",ParadiseKohyao,hotel,The Paradise Koh Yao,,Ko Yao,Phang Nga,TH,8.1756,98.6338
1.0.218.74,"78:45:58:4b:20:09,78:45:58:4b:20:0a,24:a4:3c:4f:4a:f1,1e:6a:1b:84:6b:06,78:45:58:4b:25:51,ac:8b:a9:be:81:c6",TBH,bank,TMBThanachart Bank,ธนาคารทหารไทย,Hat Yai,Songkhla,TH,7.0026,100.4702
1.0.225.31,"f8:79:28:bb:90:98,24:7e:51:8d:1e:d2,14:4d:67:a9:2b:14",Ani_Ane_Cafe_2.4G,coffee_shop,Ani Ane Cafe,,Udon Thani,Udon Thani,TH,17.4002,102.795
1.0.231.157,00:18:ae:cd:fe:56,Toyota_sure int,car_dealer,Toyota Sure Udonthani: โตโยต้า อุดรธานี ยูสคาร์,Toyota,Udon Thani,Udon Thani,TH,17.4308,102.7918
1.0.234.229,"c8:3a:35:4b:00:b8,34:36:54:f7:88:4e,74:da:38:f9:34:31",Ruamros Riverside_5G,hotel,รวมรส ริเวอร์ไซด์,,Sangkhom,Nong Khai,TH,18.1868,102.1687
1.0.236.66,"e0:d3:62:ac:c4:d2,88:5d:fb:aa:f0:4c,dc:f8:b9:d8:f4:03",SuratNa,home_improvement,Surat Home Center,,Kumphawapi,Udon Thani,TH,17.1152,102.9961
1.0.237.20,60:a4:4c:45:25:7c,UD@Residenc 3.2,hotel,U D Residence,,Udon Thani,Udon Thani,TH,17.4038,102.8021
1.0.237.156,"08:f6:06:96:8a:c6,14:4d:67:aa:79:cc",Pharadhevi3,hotel,Phara Devi,,Ban Dung,Udon Thani,TH,17.6891,103.2568
1.0.240.156,"68:ff:7b:75:c1:23,c4:12:f5:79:df:6e",Pasai talaythong,hotel,เกาะยาว การ์เดน บังกะโล,,Ko Yao,Phang Nga,TH,8.0979,98.6182
1.0.242.26,98:da:c4:85:57:ce,DOMTHONG RESORT 5G,hotel,รีสอร์ทโดมทอง อ.ทุ่งสง จ.นครศรีธรรมราช,,Thung Song,Nakhon Si Thammarat,TH,8.1726,99.7012
1.0.244.120,d8:07:b6:40:9f:60,SaunKOKO2_5GHz,restaurant,สวนอาหารโกโก้,,Chumphon,Chumphon,TH,10.5337,99.2086
1.0.244.175,"20:e8:82:c4:a1:96,00:23:69:2c:e9:6f",Kohyaoyaiseabreeze_5G,hotel,Koh Yao Yai Sea Breeze House,,Ko Yao,Phang Nga,TH,8.0535,98.5982
1.0.245.2,"44:f4:36:db:9c:c0,9c:a2:f4:9d:df:21,c8:5a:9f:c2:22:8a,14:4d:67:38:e5:80",Tiffy1,restaurant,Tiffy's Cafe and Restaurant,,Ban Khao Lak,Phang Nga,TH,8.6495,98.2527
1.0.245.8,"c4:eb:ff:99:e5:2d,74:da:38:d0:53:1a",TOT2.4G-SealineSairee,coffee_shop,Infinite Sairee Beach,,Ban I Let,Chumphon,TH,10.3979,99.2793
1.0.245.98,"74:da:88:ba:49:85,5c:92:5e:64:10:f4,50:d4:f7:69:89:9d",WIFI FL3L@SIRINAKHON,hotel,Sirinakhon Hotel,,Nakhon Si Thammarat,Nakhon Si Thammarat,TH,8.4128,99.9709
1.0.245.172,"98:da:c4:d2:bf:4f,dc:f8:b9:d8:e0:59,78:44:76:b4:67:48",The Tower Condo 39,real_estate,NOON Village Tower Office,,Phuket,Phuket,TH,7.824,98.3388
1.0.246.133,"48:ee:0c:46:67:40,d0:59:19:c7:cd:91,ac:84:c6:0b:c5:3f,00:72:63:21:b9:c3",Dareen Garden Home_5G,hotel,Lanta Dareen Garden Home,@HOME,Ko Lanta,Krabi,TH,7.5445,99.05
1.0.248.193,"e4:be:ed:ab:6b:e7,c4:eb:ff:98:9a:07,0c:b6:d2:3e:b0:b4",Fishtakbai_5G,pharmacy,Takbai Pharmacy,,Tak Bai,Narathiwat,TH,6.2592,102.0527
1.0.252.155,"2c:30:33:31:f3:c0,ec:ad:e0:ae:8d:44",RueanRamResort 2.4g,hotel,เรือนแรม รีสอร์ท,,Narathiwat,Narathiwat,TH,6.4292,101.806
1.0.253.29,"78:11:dc:1b:4b:ed,68:9e:29:46:c7:69,28:ff:3e:dc:3b:a5",NKT@5G,coffee_shop,NKT Coffee,,Hat Yai,Songkhla,TH,6.9793,100.4259
1.0.254.253,ec:08:6b:5b:0b:48,@Phithan,car_dealer,บริษัท พิธานพาณิชย์,,Pattani,Pattani,TH,6.867,101.2584
1.0.255.209,"24:a6:5e:11:6d:fa,78:32:1b:c9:34:10,74:da:38:f4:3f:73",Tinglee_2.4GHz,grocery_store,Big C,Big C,Hat Yai,Songkhla,TH,7.0381,100.4678
1.1.152.17,"74:6f:88:b1:7b:27,78:44:76:bd:94:94",UNCLE JOES,bar,Uncle Joe’s khaolak,,Ban Khao Lak,Phang Nga,TH,8.6658,98.2461
1.1.152.38,"74:da:38:db:6b:28,50:d4:f7:68:ff:f1",Aumpai Luxury A6,hotel,Aumpai Luxury,,Ko Samui,Surat Thani,TH,9.4675,100.0444
1.1.152.100,"e0:19:54:e8:18:4f,dc:62:79:96:66:fa",Laguna villas,hotel,Villaguna Koh Yao Noi,,Ko Yao,Phang Nga,TH,8.1054,98.6224
